Image,New System Prompt
Xmas_Artwork.jpeg,16.0
centaur.jpeg,16.0
IMG_2272.jpeg,16.0
mom-daughter.jpeg,16.0
xmas_tree.jpeg,16.0
mandala_cat.jpeg,16.0
pink_flower.jpeg,16.0
two_people.jpeg,16.0
pandas.jpeg,16.0
IMG_2273.jpeg,16.0
love_monster.jpeg,16.0
sunflower.jpeg,16.0
Abstract_Work_Blue.jpeg,16.0
turkey.jpeg,16.0
Kayson IMG_0512.jpeg,16.0
rainbow.jpeg,16.0
imprints.jpeg,16.0
CountryBalls.jpeg,16.0
creature_hello.jpeg,16.0
bulldog.jpeg,16.0
Airplane.jpeg,16.0
abstract_blue_white_red.jpeg,16.0
Kayson IMG_0511.jpeg,16.0
craft_flower.jpeg,16.0
peeps.jpeg,16.0
poms.jpeg,16.0
Vampire.jpeg,16.0
mandala.jpeg,16.0
skull_face_jones.jpeg,16.0
IMG_2271.jpeg,15.0
Average,15.966666666666667
